"First.Name","Total"
"Emma (F)",39829
"Olivia (F)",38884
"Sophia (F)",33451
"Ava (F)",32577
"Isabella (F)",30296
"Mia (F)",29237
"Charlotte (F)",24411
"Abigail (F)",24070
"Emily (F)",22692
"Harper (F)",21016
